,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
5S_rRNA,4,6,3,1,5,1,2,7,8,2,3,2,11,6,10,2,1,6
7SK,113,88,96,82,81,72,46,46,34,3,3,4,2,1,0,2,3,0
A1BG,28,37,28,25,17,22,89,84,97,8,3,7,9,1,7,9,12,6
A1BG-AS1,234,233,227,172,129,260,213,244,213,43,108,66,105,114,48,61,46,73
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,2,1,1,0,1,0,0,0,19,44,20,0,1,0,0,0,0
A2M-AS1,12,15,12,5,7,11,3,2,3,1,11,12,1,1,2,1,0,2
A2ML1,0,0,0,1,1,0,1,0,0,10,5,151,0,0,0,0,0,0
A2ML1-AS1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,2,4,5,7,6,6,6,7,3,6,1,9,0,1,14,1,0
A2MP1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
A3GALT2,9,17,11,17,13,19,30,18,13,1,0,1,20,0,1,7,3,6
A4GALT,21,37,32,27,44,61,64,65,50,28,62,67,393,414,509,229,285,401
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAAS,1376,1417,1287,1473,1215,1310,2934,2833,2717,210,945,613,1505,1087,1778,1003,1109,1867
AACS,4403,4467,3844,4216,2844,3816,2361,2405,2296,741,2473,1772,672,548,704,420,398,854
AACSP1,0,1,0,1,0,0,38,33,56,0,0,2,2,0,0,1,0,0
AADAC,0,1,1,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0
AADACL2,1,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0
AADACL3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,677,512,493,670,352,358,1519,959,1103,184,663,447,406,309,268,261,233,295
AAED1,307,352,268,336,262,257,489,451,501,89,231,207,257,353,473,208,207,481
AAGAB,1252,1372,1232,1746,1179,1219,1802,1822,1624,499,1779,1234,2907,2251,3493,1466,1935,3552
AAK1,506,607,551,334,465,549,928,590,663,1152,1680,1457,1117,650,973,714,782,1189
AAMDC,195,203,176,168,183,232,197,219,187,125,466,277,281,244,299,160,155,295
AAMP,2904,2809,2774,2401,2233,2514,2245,2450,2312,609,2946,1720,2911,2594,3859,1588,2090,3947
AANAT,2,2,1,4,5,1,13,8,10,1,2,0,0,0,4,1,4,0
AAR2,1053,1077,1008,999,952,1029,1063,1035,963,279,1231,828,1146,1116,1471,713,728,1581
AARD,171,175,174,141,150,174,50,126,121,9,7,17,7,2,3,2,1,0
AARS,4125,3923,3694,2619,2234,2763,2892,1915,2336,841,4505,2322,3968,2726,4267,2478,2447,5278
AARS2,914,958,884,891,736,788,1186,1131,1103,192,556,330,1345,845,640,825,894,977
AARSD1,209,280,229,295,263,253,217,167,192,128,138,157,231,23,34,164,151,60
AASDH,551,507,459,586,308,346,789,723,763,924,622,883,324,275,390,239,271,448
AASDHPPT,757,829,637,959,457,487,1249,761,832,370,960,819,1719,1777,2668,1059,1337,2860
AASS,46,28,34,32,35,30,434,307,320,156,135,238,99,147,33,41,31,38
AATF,1614,1907,1629,1630,1358,1465,999,1097,927,694,3216,1813,2634,2122,3312,1661,1857,4245
AATK,282,210,173,188,151,173,244,274,177,74,136,92,440,79,116,261,161,135
AATK-AS1,3,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,2
